,time,BTC-USD,MA
2025-06-16 00:03:36,-0.003344393004115226,105564.1653,105564.1653
2025-06-16 01:03:09,-0.002884902263374486,105424.1992,105424.1992
2025-06-16 02:02:38,-0.002425925925925926,105795.6185,105795.6185
2025-06-16 03:03:39,-0.0019551183127572017,105822.8704,105822.8704
2025-06-16 04:03:35,-0.0014926697530864197,105909.2122,105909.2122
2025-06-16 05:03:34,-0.0010298353909465022,106256.9288,106256.9288
2025-06-16 06:03:36,-0.0005666152263374486,106568.3578,106568.3578
2025-06-16 07:03:37,-0.00010352366255144032,106640.6751,106640.6751
2025-06-16 08:03:16,0.00035673868312757203,107058.9863,107058.9863
2025-06-16 09:03:40,0.0008227880658436214,107167.6694,107167.6694
2025-06-16 10:03:53,0.0012874228395061728,106937.2121,106937.2121
2025-06-16 11:03:46,0.0017494855967078188,106809.2521,106809.2521
2025-06-16 12:03:13,0.002208204732510288,106864.1529,106864.1529
2025-06-16 13:03:53,0.002676311728395062,106755.9014,106755.9014
2025-06-16 14:03:08,0.0031334876543209875,107031.5269,107031.5269
2025-06-16 15:00:08,0.0035733024691358027,107665.8632,107665.8632
2025-06-16 16:03:22,0.004061213991769548,107526.8823,107526.8823
2025-06-16 17:00:54,0.004505144032921811,107815.7699,107815.7699
2025-06-16 18:03:49,0.004990612139917696,107766.254,107766.254
2025-06-16 19:03:44,0.005452932098765432,108108.3151,106774.49064499998
2025-06-16 20:03:24,0.00591332304526749,108570.2709,106924.79592500001
2025-06-16 21:03:46,0.006379115226337448,108771.3871,107092.15531999999
2025-06-16 22:03:28,0.006839763374485597,108560.4429,107230.39654000002
2025-06-16 23:03:07,0.007300025720164609,107711.8002,107324.84303000002
2025-06-17 00:03:44,0.007767746913580247,106842.1227,107371.488555
2025-06-17 01:03:20,0.008227623456790123,107146.5062,107415.967425
2025-06-17 02:03:09,0.008689171810699588,107240.0796,107449.55351499999
2025-06-17 03:03:26,0.009154320987654322,107155.0115,107475.27033500001
2025-06-17 04:03:12,0.00961548353909465,107596.2406,107502.13304999999
2025-06-17 05:03:31,0.010080889917695473,107382.3987,107512.869515
2025-06-17 06:03:28,0.0105434670781893,107133.1404,107522.66592999999
2025-06-17 07:03:42,0.011008230452674897,106850.0397,107524.70530999999
2025-06-17 08:00:33,0.011446887860082305,106772.7028,107520.13280500002
2025-06-17 09:03:48,0.011934927983539095,106574.4403,107511.05974999999
2025-06-17 10:13:33,0.012473122427983539,106168.6558,107467.91619500001
2025-06-17 11:03:37,0.012859439300411522,105917.656,107380.505835
2025-06-17 12:03:41,0.013322916666666667,105599.0423,107284.113835
2025-06-17 13:01:03,0.013765560699588477,105570.369,107171.84379
2025-06-17 14:02:06,0.014236625514403292,105381.3674,107052.59946000001
2025-06-17 15:03:36,0.014711162551440329,104968.4129,106895.60435
2025-06-17 16:03:28,0.01517309670781893,104297.6135,106681.97148
2025-06-17 17:03:48,0.015638631687242797,103645.2654,106425.66539499999
2025-06-17 18:03:45,0.016101208847736626,103877.2191,106191.504205
2025-06-17 19:02:36,0.016555298353909464,104344.1386,106023.12112500002
2025-06-17 20:03:35,0.0170258487654321,104912.041,105926.61704
2025-06-17 21:03:39,0.017489326131687244,104455.9294,105792.0882
2025-06-17 22:03:17,0.01794945987654321,104578.8186,105659.02515
2025-06-17 23:03:32,0.018414351851851852,104416.6416,105522.10665500001
2025-06-18 00:02:11,0.018866898148148147,104582.9573,105371.44249
2025-06-18 01:03:40,0.01934130658436214,104798.2039,105242.23275
2025-06-18 02:02:19,0.019793852880658436,104773.1483,105124.23314499999
2025-06-18 03:03:30,0.020265946502057614,104924.8608,105027.97420000001
2025-06-18 04:03:18,0.02072736625514403,105183.3456,104948.50634
2025-06-18 05:02:35,0.02118479938271605,105435.2467,104891.54665999999
2025-06-18 06:03:21,0.021653677983539094,105449.9186,104855.6098
2025-06-18 07:03:22,0.022116769547325103,105023.0722,104810.88061
2025-06-18 08:00:57,0.022561085390946502,104951.9147,104778.52423000001
2025-06-18 09:03:24,0.02304295267489712,104948.753,104747.44343
2025-06-18 10:01:03,0.0234877829218107,104718.0611,104714.27811500001
2025-06-18 11:03:18,0.023968106995884773,104313.9776,104681.55635
2025-06-18 12:03:26,0.0244320987654321,104771.9255,104705.27195
